E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,B0,B8,B9,S9,S1,S4,S0,S3,S8,S5,S7,S6,S2,flux_0,flux_1,flux_2,flux_3,flux_4,flux_5,flux_6,flux_7,flux_8,flux_9,flux_10,flux_11,flux_12
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,8.7813989697998,13.64706,6.7969247064,0.23262064525862555,0.05432211486749306,0.2640231240993169,0.02257445402106221,7.039088532197954,0.01974356981466804,0.07905719389601638,0.002677238799332277,0.8476172604475608,0.0252092435864313,-0.004470528761005045,0.0034888331266313953,0.0034888331266313953,0.0034888331266313957,-0.0009816956343736485,-0.12819893503455043,-0.1281989350345505,-0.0009816956343736416,-0.0009816956343735583,-0.1281989350345487,0.13168776816118183,-0.0009816956343736694,0.13517660128781328
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,8.7813989697998,13.64706,6.7969247064,0.22849582542086033,0.053096230325537314,0.17878095175903713,0.02116916893527036,5.744982506095123,0.019732309929110143,0.07764507519820044,0.0018151815255623366,0.6922712938440249,0.019528497907966975,-0.003885040661856446,0.002362060466777499,0.0023620604667774986,0.0023620604667774986,-0.0015229801950789462,-0.08215257534058407,-0.08215257534058407,-0.00152298019507896,-0.0015229801950784605,-0.08215257534058296,0.08451463580736156,-0.0015229801950789046,0.08687669627413896
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,8.7813989697998,13.64706,6.7969247064,0.2352484124536703,0.055100887691128746,0.3184958285363157,0.02345760277665476,7.863401771699009,0.019750646068461036,0.07995671568279664,0.0032287790878867766,0.9493039033545212,0.02884151094509852,-0.004850297429324274,0.004208771053872902,0.004208771053872901,0.004208771053872901,-0.000641526375451373,-0.15752910754840388,-0.15752910754840388,-0.0006415263754513678,-0.0006415263754515621,-0.15752910754840244,0.16173787860227679,-0.0006415263754513401,0.1659466496561497
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,8.7813989697998,13.64706,6.7969247064,0.2326185234604803,0.05432393743009037,0.2640816398577404,0.022561450623432726,7.038349768175969,0.019723353947103592,0.0790565635193672,0.0026778097350348227,0.8491984740250458,0.025213187440956252,-0.004466377213455093,0.0034896213940229836,0.003489621394022984,0.0034896213940229836,-0.0009767558194321083,-0.12817251313611366,-0.12817251313611372,-0.0009767558194321013,-0.0009767558194324621,-0.12817251313611422,0.1316621345301367,-0.000976755819432129,0.13515175592415973
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,8.7813989697998,13.64706,6.7969247064,0.23261852105983527,0.0543210977510116,0.26408165956095125,0.02258026229269285,7.038350020651041,0.019750361696026564,0.07905645158319534,0.002677837780230781,0.8491985047313233,0.025212640670152053,-0.004472396980502703,0.003489601914741739,0.003489601914741739,0.003489601914741739,-0.000982795065760966,-0.12817252398413304,-0.12817252398413304,-0.0009827950657609608,-0.000982795065761266,-0.1281725239841336,0.13166212589887477,-0.0009827950657607665,0.1351517278136165
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,8.7813989697998,13.64706,6.7969247064,0.24410591304265075,0.05697671420825227,0.26483356480333575,0.02229692862173617,7.207786984485551,0.01974134613474187,0.08295943982678636,0.0026864360471390014,0.8695076879242835,0.026134270073137508,-0.00458797638584617,0.003499384139975279,0.0034993841399752787,0.0034993841399752787,-0.0010885922458708907,-0.12783335934835804,-0.12783335934835804,-0.0010885922458708785,-0.0010885922458712116,-0.12783335934835804,0.1313327434883333,-0.0010885922458708785,0.13483212762830865
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,8.7813989697998,13.64706,6.7969247064,0.22877727931013675,0.05343454636481982,0.2638302273766368,0.02267147549360658,6.981692332919649,0.01974434720189612,0.07775139750902274,0.0026749671047994993,0.8424073574518144,0.02491407343330053,-0.00443066027055042,0.0034863351495879828,0.003486335149587983,0.0034863351495879828,-0.0009443251209624373,-0.12828593406827013,-0.12828593406827013,-0.0009443251209624443,-0.0009443251209617642,-0.12828593406826627,0.13177226921785815,-0.0009443251209623194,0.13525860436744597
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.3906994848999,13.64706,6.7969247064,0.23261852166276475,0.05432181094253472,0.2640816546124287,0.02257553751650743,7.038349957241145,0.019743578496205217,0.07905647969620701,0.0026778307363813404,0.8491984970193465,0.02521277799290498,-0.004470885103049388,0.0034896068070236815,0.0034896068070236824,0.0034896068070236815,-0.000981278296025706,-0.12817252125961937,-0.1281725212596193,-0.00098127829602572,-0.0009812782960256783,-0.12817252125961787,0.131662128066643,-0.0009812782960256783,0.13515173487366683
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.1720984546997,13.64706,6.7969247064,0.23261852166276475,0.05432181094253472,0.2640816546124287,0.02257553751650743,7.038349957241145,0.019743578496205217,0.07905647969620701,0.0026778307363813404,0.8491984970193465,0.02521277799290498,-0.004470885103049388,0.0034896068070236815,0.0034896068070236824,0.0034896068070236815,-0.000981278296025706,-0.12817252125961937,-0.1281725212596193,-0.00098127829602572,-0.0009812782960256783,-0.12817252125961787,0.131662128066643,-0.0009812782960256783,0.13515173487366683
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.7813989697998,6.82353,6.7969247064,0.2326194035356062,0.055366762674021915,0.2640744166716028,0.015783608727887272,7.038257210954646,0.009907812290015259,0.07909766972645106,0.0026676790548439385,0.8491872171208067,0.025413922099987555,-0.002255704069441907,0.0034967624876870535,0.003496762487687053,0.0034967624876870527,0.0012410584182451457,-0.12816853625826796,-0.1281685362582679,0.0012410584182451362,0.001241058418245622,-0.12816853625826852,0.13166529874595495,0.0012410584182451778,0.13516206123364194
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.7813989697998,20.47059,6.7969247064,0.23261765473478918,0.053298328290381364,0.2640887698937844,0.029486010685683576,7.038441131780836,0.029580294542518072,0.07901613488707672,0.002688106086105474,0.8492095857604269,0.025015645706822232,-0.006640526743190305,0.003482572391789283,0.003482572391789283,0.0034825723917892826,-0.0031579543514010204,-0.12817643872820608,-0.12817643872820605,-0.003157954351401024,-0.0031579543514013153,-0.12817643872820383,0.13165901111999534,-0.0031579543514010933,0.13514158351178462
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.7813989697998,13.64706,3.3984623532,0.12234220192696733,0.02897888592032575,0.2568640683711758,0.026042806232779037,5.411801790688255,0.019771360082545545,0.041594576451860606,0.0025987412613671006,0.6542359461814177,0.01851116817143377,-0.0030409423716838586,0.003395178871132383,0.003395178871132383,0.003395178871132382,0.0003542364994485233,-0.13142871190233246,-0.13142871190233246,0.00035423649944853197,0.00035423649944865687,-0.13142871190233407,0.13482389077346485,0.00035423649944854585,0.1382190696445973
